LineId,type,time,Content,EventId,EventTemplate,ParameterList
1228,SERVICE_START,1583785209.727:163,"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=packagekit comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['1', '0', '4294967295', '4294967295', 'msg=\'unit=packagekit comm=""systemd"" exe=""/lib/systemd/systemd""', ""terminal=? res=success'""]"
1229,SERVICE_START,1583785209.951:164,"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=colord comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['1', '0', '4294967295', '4294967295', 'msg=\'unit=colord comm=""systemd"" exe=""/lib/systemd/systemd""', ""terminal=? res=success'""]"
1230,SERVICE_STOP,1583785214.667:165,"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=geoclue comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['1', '0', '4294967295', '4294967295', 'msg=\'unit=geoclue comm=""systemd"" exe=""/lib/systemd/systemd""', ""terminal=? res=success'""]"
1231,SERVICE_STOP,1583785239.879:166,"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=systemd-localed comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['1', '0', '4294967295', '4294967295', 'msg=\'unit=systemd-localed comm=""systemd"" exe=""/lib/systemd/systemd""', ""terminal=? res=success'""]"
1232,SERVICE_START,1583785240.619:167,"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=systemd-hostnamed comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['1', '0', '4294967295', '4294967295', 'msg=\'unit=systemd-hostnamed comm=""systemd"" exe=""/lib/systemd/systemd""', ""terminal=? res=success'""]"
1233,SERVICE_STOP,1583785240.619:168,"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=systemd-hostnamed comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['1', '0', '4294967295', '4294967295', 'msg=\'unit=systemd-hostnamed comm=""systemd"" exe=""/lib/systemd/systemd""', ""terminal=? res=success'""]"
1234,USER_AUTH,1583785363.111:169,"pid=1706 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:authentication acct=""sepses"" exe=""/usr/sbin/xrdp-sesman"" hostname=? addr=? terminal=xrdp-sesman res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['1706', '0', '4294967295', '4294967295', 'msg=\'op=PAM:authentication acct=""sepses"" exe=""/usr/sbin/xrdp-sesman""', ""terminal=xrdp-sesman res=success'""]"
1235,USER_ACCT,1583785363.111:170,"pid=1706 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:accounting acct=""sepses"" exe=""/usr/sbin/xrdp-sesman"" hostname=? addr=? terminal=xrdp-sesman res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['1706', '0', '4294967295', '4294967295', 'msg=\'op=PAM:accounting acct=""sepses"" exe=""/usr/sbin/xrdp-sesman""', ""terminal=xrdp-sesman res=success'""]"
1236,CRED_ACQ,1583785363.375:171,"pid=3118 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:setcred acct=""sepses"" exe=""/usr/sbin/xrdp-sesman"" hostname=? addr=? terminal=:10 res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['3118', '0', '4294967295', '4294967295', 'msg=\'op=PAM:setcred acct=""sepses"" exe=""/usr/sbin/xrdp-sesman""', ""terminal=:10 res=success'""]"
1237,USER_ACCT,1583785363.391:172,"pid=3120 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:accounting acct=""sepses"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['3120', '0', '4294967295', '4294967295', 'msg=\'op=PAM:accounting acct=""sepses"" exe=""/lib/systemd/systemd""', ""terminal=? res=success'""]"
1238,CRED_ACQ,1583785363.391:173,"pid=3120 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:setcred acct=""sepses"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['3120', '0', '4294967295', '4294967295', 'msg=\'op=PAM:setcred acct=""sepses"" exe=""/lib/systemd/systemd""', ""terminal=? res=success'""]"
